Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,5,650000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,13,1848600
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,6,806400
Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,30,9600000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,25,8000000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,4,1180000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,86,19264000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,269,53262000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,217,31747100
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,22,14652000
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,27,17010000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,1,553000
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,2,284396
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,8,5328000
Virgin America,VX,Virgin America,VX,International,Canada,Passenger,Narrow Body,Airbus,A320,32,4550336
Mesa Airlines,YV,US Airways,US,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,63,4630500
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,61,38430000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,62,39060000
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,13,1847300
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,18,8280000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,27,17982000
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,28,392000
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Turbo Prop,DeHavilland,DH8,93,5742750
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,23,250700
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,143,18590000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,41,5330000
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,84,11566800
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,374,53182052
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,777,1,460000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,86,26660000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,92,24840000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,170,33660000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,392,56448000
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,30,16620000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,2,292600
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,155,26582500
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A319,32,4409248
Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,17173969
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,3,432000
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,633,87220437
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,49,7056000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,138,17829600
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,58,7018000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,126,15246000
AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,110,14080000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,28,13160000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,20,2843960
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,1,630000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A340,26,10890724
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,5,3035292
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,30,4265940
Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,31,19530000
Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,23,598000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,116,11252000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,6,1029000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,2,284400
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,997,141771406
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,34,4834800
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,77,10356500
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,3,413400
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,31,3968000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,77,10609599
ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,62,16897000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,90,12400830
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,497,68480139
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,777,36,16560000
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A340,26,14845766
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,777,63,28980000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,9,4140000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,125,55625000
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Boeing,757,2,396000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,43,13760000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,196,58800000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,4,792000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,1225,242550000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,30,18900000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,747,125,78750000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,747,3,1890000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,1,350000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,56,12544000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,25,4950000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,121,19033300
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,18,2651400
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,167,24409100
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,24,3072000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,38,5403600
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,7,962500
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,27,11309706
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,817,104576000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,32,3520000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,416,47424000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1793,46259400
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,179,13442900
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,26,1742000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,152,10184000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,609,40803000
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,58,2726000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,93,4371000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1299,61053000
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,62,34348000
Servisair,UA,Servisair,UA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,1,128000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,4,2548000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,12,7780000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,31,6944000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,10,1980000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,99,15572700
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,57,8396100
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,147,21421000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,1,128000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,33,4692600
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,3,412500
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,24,10053072
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,732,93696000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,29,3190000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,365,41610000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1613,41615400
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,175,13142500
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,44,2948000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,157,10519000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,604,40468000
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,21,987000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,77,3619000
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1086,51042000
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,56,31024000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,5,3185000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,9,5868000
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,28,17640000
Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,22,14344000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,28,15988000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,28,17640000
LAN Peru,LP,LAN Peru,LP,International,South America,Passenger,Wide Body,Boeing,767,16,5120000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,16,7360000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,22,14344000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,4,2612000
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,McDonnell Douglas,MD-11,28,12321064
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,235,33417000
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,28,12964000
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,17,5440000
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,11,3245000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,36,3412800
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,32,2313600
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,2,284396
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,55,7397500
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,12,1518000
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,12,3280800
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,24,6416200
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,2,617400
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,29,16066000
EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,7,4564000
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,747,9,5670000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,48,6816000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,75,10665000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,9,1209600
Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,28,8960000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,6,1920000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,26,7670000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,48,10752000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,271,53658000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,113,16531900
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,18,11988000
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,24,15120000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,16,8848000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,4,2664000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,40,25200000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,56,35280000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,16,7360000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,24,15984000
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,20,280000
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Piper,PA-31,1,7000
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,8,90400
Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,9,98100
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,131,17030000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,67,8710000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,67,20770000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,93,25110000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,158,31284000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,284,40896000
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,28,15512000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,16,2340800
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,26,3803800
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,1,144000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,90,12960000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,62,8010400
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,39,4719000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,89,10769000
AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,56,7168000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,25,11750000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,3,1890000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A340,22,9215228
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A330,6,2407422
Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,27,17010000
Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,18,468000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,97,9409000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,2,343000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,4,568800
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,28,3971700
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,67,9011500
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,3,413400
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,28,3584000
ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,56,15276000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,420,57870540
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,38,5235906
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,67,9231729
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,905,128689190
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,54,7678692
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,18,2559564
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,328,45194792
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,39,5370300
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A319,31,4271459
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,526,74796148
Virgin America,VX,Virgin America,VX,International,Canada,Passenger,Narrow Body,Airbus,A320,19,2701762
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,1,142198
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A340,1,410000
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A340,27,15416757
Mesa Airlines,YV,US Airways,US,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,56,4116000
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Turbo Prop,DeHavilland,DH8,1,61750
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,173,24583300
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,10,1422000
Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,28,15511972
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,130,22295000
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,107,7169000
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,2,275600
US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,10,1421000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,777,28,12880000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,777,54,24840000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,6,2760000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,108,48060000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,40,12800000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,162,48600000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,4,792000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,1032,204336000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,747,28,17640000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,28,17640000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,747,111,69930000
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,747,2,1260000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,1,300000
EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,9,5868000
EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,4,2520000
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,747,1,630000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,53,7526000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A330,2,824400
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,73,10380600
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,15,2016000
Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,31,9920000
